Iterations,MethodError,RunTime
25,4.669690846232895e-6,0.097778434
50,2.917045238245568e-8,0.099117135
75,2.257688002012508e-10,0.09932149
100,1.9080294903332325e-12,0.100087557
125,1.6909695603611158e-14,0.100751751
150,2.4722091958188674e-16,0.101375176
175,2.0038872059193824e-16,0.102119797
200,1.9428902930940244e-16,0.102982675
