Iterations,MethodError,RunTime
25,6.603872852900176e-6,0.014720628
50,4.1253249380726886e-8,0.015121256
75,3.1928529920519337e-10,0.01529796
100,2.698361173501205e-12,0.01564807
125,2.3912889976056777e-14,0.016096993
150,2.7006028879032577e-16,0.016238273
175,1.7608938668935872e-16,0.016521941
200,1.6184142622847346e-16,0.0169079
